English,German
a picture of pigeons taking off with a young girl in the distant background,ein bild das abfliegende tauben und weit entfernt im hintergrund ein junges mädchen zeigt
a man surfing on a wave hanging ten,ein mann surft auf einer welle
a group of people on a dock by a city boarding various boats,eine gruppe von personen auf einem dock in einer stadt gehen an bord verschiedener boote
a female athlete with the number 43 on her calf runs,eine sportlerin mit der nummer 43 auf der wade läuft
a dog holds a large stick in its mouth in the woods,ein hund hält im wald einen großen stock in seiner schnauze
a child looks through a microscope while and adult stands at the edge of a table,ein kind schaut durch ein mikroskop während ein erwachsener an der tischkante steht
a barefoot woman reads a book along the water,eine barfüßige frau liest am wasser ein buch
two motorcyclists racing neck and neck around a corner,zwei motorradfahrer brausen kopf an kopf um eine kurve
a man in black on a city sidewalk plays the accordion,ein schwarz gekleideter mann auf dem bürgersteig einer stadt spielt akkordeon
two young girls one blond and the other brunette jump on a green couch in a bright sun drenched room,zwei kleine mädchen eins blond und eins brünett springen auf einer grünen couch in einem hellen sonnendurchfluteten zimmer
a crowd of people at a carnival,eine menschenmenge auf einem rummelplatz
a rock and roll concert ensues as a guitarist steals the spotlight,ein rock-and-roll-konzert beginnt als der gitarrist zu spielen anfängt
a man with no shirt sitting on a moped,ein mann mit freiem oberkörper sitzt auf einem moped
an asian girl is standing in a crowd wearing red lipstick,ein asiatisches mädchen trägt roten lippenstift und steht in einer menschenmenge
a woman with a black and white sweater standing on a walkway,eine frau in einem schwarz und weißen pullover steht auf einem bürgersteig
a man in an orange shirt is selling bratwurst for one euro to an old man in a blue shirt,ein mann in einem orangefarbenen hemd verkauft eine bratwurst für einen euro an eine alten mann in einem blauen hemd
on a sunny day a man sits on rocks smoking beside a body of water,an einem sonnigen tag sitzt ein mann rauchend neben einem gewässer auf steinen
a lot of furniture stacked on top of each other,eine haufen gestapelter möbel
a man and woman kissing at a train station,ein mann und eine frau küssen sich an einem bahnhof
two horses pull a carriage driven by a woman over snow covered ground,zwei pferde ziehen einen von einer frau gelenkten wagen über einen schneebedeckten untergrund
a man with a shaved head stands in a river and holds onto a rope,ein mann mit einem rasierten kopf steht in einem fluss und hält sich an einem seil fest
two soldiers are taking refuge behind some guard rails,zwei soldaten suchen schutz hinter einigen leitplanken
young people sit on the rocks beside their recreational vehicle,junge leute sitzen auf den felsen neben ihrem freizeitfahrzeug
a lady wearing a fancy costume and headdress while drinking from a can,eine dame mit ausgefallenem kostüm und entsprechender frisur trinkt aus einer dose
the girl is climbing an artificial climbing wall,das mädchen klettert an einer aufgerichteten kletterwand
a little girl peering over a blue wall,ein kleines mädchen späht über eine blaue mauer
someone is using two poles to hike on a mountain,jemand benutzt zwei stangen um auf einem berg zu wandern
a shaggy dog runs down a dirt trail in a lush forest,ein zotteliger hund läuft einen feldweg in einem grünen wald herunter
a skier is leaning to one side to dig their skis into the snow,ein skifahrer lehnt sich zu einer seite um seine ski in den schnee zu stecken
three women and two men in swimsuits sunbathing on lawn chairs covered by towels,drei frauen und zwei männer in badesachen liegen auf liegestühlen die mit handtüchern bedeckt sind und nehmen ein sonnenbad
two people with white shirts walking up the sidewalk talking on their phones,zwei menschen mit weißen oberteilen gehen den gehweg entlang und telefonieren dabei
two people are wearing helmets and sunglasses on a sunny day,zwei personen tragen helme und sonnenbrillen an einem sonnigen tag
the couple relax on the steps studying the guidebook,das paar entspannt sich auf den stufen während sie durch den reiseführer gucken
two football teams lined up before the hike,zwei football-mannschaften in aufstellung vor dem snap
a person is dirt biking over rocks and water,eine person fährt mit dem geländemotorrad über steine und wasser
firetrucks surrounding a burning building at night and spraying water from various directions,feuerwehrfahrzeuge stehen in der nacht um ein brennendes gebäude herum und bespritzen es aus verschiedenen richtungen mit wasser
a young woman in a dark green tennis outfit serves the ball,eine junge frau in dunkelgrüner tenniskleidung schlägt den ball auf
two brown dogs wearing muzzles race through a grassy field,zwei braune hund mit maulkorb rennen auf einer wiese um die wette
a young boy riding in a swing,ein kleiner junge schaukelt in einer schaukel
men wearing orange uniforms and fake wings walk down a subway tunnel,männer in orangefarbenen uniformen mit falschen flügeln laufen einen u-bahn-tunnel entlang
a basketball player prepares to make a throw while his opponent defends,ein basketballspieler holt zum wurf aus während sein gegner verteidigt
two performers one man playing a guitar and one woman with a mic raised to her mouth are sitting on chairs performing,ein gitarre spielender mann und eine frau mit einem mikrofon am mund sitzen auf stühlen und geben ein konzert
two college boys posing for a picture at a party at night,zwei college-jungen posieren nachts auf einer party für ein foto
two young women are hugging each other and leaning on a stone wall at the beach,zwei junge frauen umarmen sich und lehnen sich an eine steinmauer am strand
a girl in a black skirt and blue dress is watering flowers,ein mädchen in einem schwarzen rock und blauen kleid gießt blumen
black and tan small dog walking with perked ears,ein kleiner braun-schwarzer hund läuft mit aufgestellten ohren
a man in black is sitting in a restaurant,ein mann in schwarz sitzt in einem restaurant
two young girls in red bathing suits swimming in the water,zwei junge mädchen in roten badeanzügen schwimmen im wasser
a man in a baseball cap is creating a sculpture of a man,ein mann mit baseballmütze stellt eine skulptur eines mannes her
a lady in a kitchen is standing in front of the stove frying something in a frying pan,eine dame steht in einer küche vor dem herd und brät etwas in einer bratpfanne
a bike mechanic explains the physics of a bike to a registered nurse,ein fahrradmechaniker erklärt einem staatlich geprüften krankenpfleger die physik eines fahrrads
a blond-haired lady is sitting at a desk with a yellow map hanging on the wall,eine blonde frau sitzt an einem schreibtisch mit einer gelben landkarte an der wand
a man in a blue shirt is standing on the beach and throwing a stone,ein mann in einem blauen hemd steht am strand und wirft einen stein
two adult couples are placing their bets on a casino table,zwei erwachsene paare wetten an einem casino-tisch
five people in blue raking grass in front of a white building with a blue balcony,fünf menschen in blau rechen gras vor einem weißen gebäude mit einem blauen balkon
a man sculpting a small clay pot on a spinning wheel,ein mann stellt einen kleinen tontopf auf einer drehbank her
a smiling man with a headphones and a gray mustache,ein lächelnder mann mit kopfhörern und einem grauen schnurrbart
one girl wearing a watch fixing the hair of another girl,ein mädchen mit einer uhr richtet die frisur eines anderen mädchens
a man with a yellow shirt on stares in the distance,ein mann mit gelbem t-shirt starrt in die ferne
a man dressed in a funky outfit is playing guitar,ein mann in einem flippigen outfit spielt gitarre
an older man sits at a workbench while carving his art,ein älterer mann sitzt an einer werkbank und bearbeitet sein kunstwerk
a person with pink hair and tattoos on their upper and lower back,eine person mit rosa haaren und tätowierungen auf seinem oberen und unteren rücken
a group of five boys are sitting on rocks near a waterfall,eine gruppe von fünf jungen sitzt auf felsen neben einem wasserfall
a girl wearing blue pants and a shirt with a hood is seen flying up above nearly two feet from the ground holding a glass which she has removed from the dishwasher,ein mädchen in blauen hosen und einem kapuzenoberteil fliegt mit einem glas in der hand das sie aus dem geschirrspüler genommen hat fast einen meter über dem boden
